"","Event","Run.Date","Run.Number","Pos","Time","AgeGrade","PB."
"1","Whinlatter Forest","23/04/2022",141,19,"29:34","43.63%",""
"2","Lancaster","16/04/2022",254,23,"23:32","54.82%",""
"3","Lancaster","09/04/2022",253,34,"25:08","51.33%",""
"4","Severn Valley Country","02/04/2022",72,10,"22:55","56.29%",""
"5","Erddig","26/03/2022",203,8,"21:47","59.22%",""
"6","Lancaster","12/03/2022",249,13,"22:49","56.54%",""
"7","Lancaster","05/03/2022",248,17,"22:52","56.41%",""
"8","Lancaster","26/02/2022",247,22,"22:56","56.25%",""
"9","Lancaster","19/02/2022",246,45,"25:51","49.90%",""
"10","Blackpool","12/02/2022",186,13,"22:01","58.59%",""
"11","Erddig","05/02/2022",197,58,"27:17","47.28%",""
"12","Morecambe Prom","22/01/2022",77,64,"23:22","55.21%",""
"13","Delamere","15/01/2022",374,26,"21:50","59.08%",""
"14","Lancaster","01/01/2022",239,11,"22:22","57.68%",""
"15","Morecambe Prom","18/12/2021",72,13,"20:00","64.50%","PB"
"16","Lancaster","11/12/2021",236,8,"21:51","59.04%","PB"
"17","Preston","04/12/2021",406,23,"21:09","60.99%","PB"
"18","Preston","20/11/2021",404,35,"21:48","59.17%",""
"19","Erddig","13/11/2021",190,11,"21:50","59.08%",""
"20","Lancaster","06/11/2021",232,15,"22:15","57.98%","PB"
"21","Lancaster","30/10/2021",231,18,"23:06","55.84%",""
"22","Preston","23/10/2021",400,29,"21:44","59.36%",""
"23","Preston","16/10/2021",399,36,"21:31","59.95%",""
"24","Blackpool","09/10/2021",172,14,"21:28","60.09%",""
"25","Erddig","02/10/2021",184,6,"21:39","59.58%",""
"26","Harrogate","25/09/2021",438,50,"21:28","60.09%",""
"27","Erddig","18/09/2021",182,11,"21:36","59.72%","PB"
"28","Fell Foot","11/09/2021",273,16,"21:09","60.99%",""
"29","Blackpool","04/09/2021",167,19,"21:03","61.28%","PB"
"30","Lancaster","28/08/2021",223,11,"22:28","57.42%",""
"31","Lancaster","21/08/2021",222,22,"22:30","57.33%",""
"32","Lancaster","14/08/2021",221,14,"22:16","57.93%","PB"
"33","Lytham Hall","07/08/2021",207,27,"21:57","58.77%",""
"34","Blackpool","31/07/2021",162,14,"22:07","58.33%",""
"35","Chester","24/07/2021",192,52,"22:34","57.16%",""
"36","Morecambe Prom","07/03/2020",49,16,"20:51","61.87%","PB"
"37","Morecambe Prom","22/02/2020",47,22,"21:31","59.95%",""
"38","Lancaster","15/02/2020",214,23,"22:43","56.79%",""
"39","Morecambe Prom","18/01/2020",42,21,"21:09","60.99%","PB"
"40","Blackpool","11/01/2020",151,11,"22:10","58.20%",""
"41","Blackpool","28/12/2019",148,22,"21:33","59.86%","PB"
"42","Erddig","21/12/2019",170,15,"22:43","56.79%","PB"
"43","Lancaster","14/12/2019",204,17,"22:53","56.37%",""
"44","Lancaster","07/12/2019",203,20,"22:20","57.76%","PB"
"45","Blackpool","23/11/2019",143,21,"22:47","56.62%","PB"
"46","Blackpool","16/11/2019",142,34,"22:48","56.58%","PB"
"47","Portobello","09/11/2019",232,79,"23:11","55.64%",""
"48","Portobello","02/11/2019",231,37,"22:59","56.13%",""
"49","Portobello","26/10/2019",230,74,"22:57","56.21%",""
"50","Erddig","21/09/2019",158,36,"23:41","54.47%",""
"51","Blackpool","14/09/2019",133,59,"24:01","53.71%",""
"52","Lancaster","07/09/2019",190,44,"24:54","51.81%",""
"53","Morecambe Prom","31/08/2019",21,45,"23:12","55.60%",""
"54","Lancaster","24/08/2019",188,41,"25:15","51.09%",""
"55","Lancaster","17/08/2019",187,55,"25:09","51.29%",""
"56","Lancaster","10/08/2019",186,81,"28:49","44.77%",""
"57","Lancaster","27/07/2019",184,62,"25:23","50.82%",""
"58","Lancaster","13/07/2019",182,93,"27:12","47.43%",""
"59","Lancaster","29/06/2019",180,50,"24:32","52.58%",""
"60","Lancaster","22/06/2019",179,56,"24:43","52.19%",""
"61","Lancaster","08/06/2019",177,74,"27:22","47.14%",""
"62","Lancaster","13/04/2019",170,31,"24:39","52.33%",""
"63","Lancaster","30/03/2019",168,52,"24:21","52.98%",""
"64","Lancaster","23/03/2019",167,128,"26:53","47.99%",""
"65","Lancaster","26/01/2019",162,75,"24:31","52.62%",""
"66","Lancaster","19/01/2019",161,129,"26:27","48.77%",""
"67","Wepre","22/12/2018",136,47,"26:42","48.31%","PB"
"68","Lancaster","08/12/2018",153,51,"24:20","53.01%","PB"
"69","Lancaster","01/12/2018",152,67,"25:23","50.82%",""
"70","Lancaster","24/11/2018",151,55,"24:41","52.26%","PB"
"71","Wepre","17/11/2018",131,42,"27:54","46.24%",""
"72","Lancaster","03/11/2018",148,116,"26:39","48.41%",""
"73","Lancaster","27/10/2018",147,102,"26:31","48.65%",""
